PROV_TERR_EN,BENEFICIARY_NAME_EN,BENEFICIARY_BAND_NBR,ASSET_CLASS_EN,PROJECT_NAME_EN,PROJECT_DESC_EN,PROJECT_STAGE_EN,LATITUDE,LONGITUDE,COORD_SYS
Saskatchewan,All Nations Healing Hospital,9999,Health,Design and construction of a new community health facility.,Design and construction of a new community health facility.,Completed,50.761877,-103.787043,GCS_North_American_1983_CSRS
Quebec,First Nations of Quebec and Labrador Sustainable Development Institute,9999,Energy sustainability and connectivity,Comprehensive Community Planning,Comprehensive community planning.,Completed,46.862576,-71.356617,GCS_North_American_1983_CSRS
Quebec,First Nations of Quebec and Labrador Sustainable Development Institute,9999,Solid waste management,Waste Portrait in Quebec,This project is to develop a comprehensive portrait of the waste management infrastructure and practices for 30 Quebec First Nations.,Completed,46.862576,-71.356617,GCS_North_American_1983_CSRS
Quebec,First Nations of Quebec and Labrador Sustainable Development Institute,9999,Solid waste management,Development of a Circuit Rider Training Program for Waste,1) Assess need and interest in a training program; 2) Develop the First Nations of Quebec and Labrador Sustainable Development Institute trainer training; 3) Production of documents of /awareness training; 4) Technical support in communities; 5) Participation.,Completed,46.862576,-71.356617,GCS_North_American_1983_CSRS
Quebec,First Nations Adult Education School Council ,9999,Housing,College Certification in Housing Management Techniques,Support for the creation of a college certification in housing management techniques.,Ongoing,45.393555,-73.63467899999999,GCS_North_American_1983_CSRS
Alberta,Technical Services Advisory Group,9999,Solid waste management,Solid Waste Capacity Building ,This project is to develop waste capacity building and provide waste operator training.,Completed,53.543415,-113.636046,GCS_North_American_1983_CSRS
Ontario,First Nations National Building Officers Association,9999,Housing,Joint Work with Canadian Construction Materials Centre,In collaboration with the Canadian Construction Materials Centre this project will support increased First Nation community capacity in the areas of code compliance procurement housing construction and climate change adaptation.,Ongoing,44.197428,-77.229917,GCS_North_American_1983_CSRS
British Columbia,British Columbia Housing and Infrastructure Council,9999,Transformation,Proof of Concept,The Community Infrastructure Branch is working with several First Nations-led organizations to establish lines of evidence to support transformation of infrastructure service delivery to First Nations communities. Activities include engagement with communities and First Nations organizations and development and evaluation of concept design.,Ongoing,54.011244,-122.622821,GCS_North_American_1983_CSRS
Saskatchewan,Prince Albert Grand Council,9999,Solid waste management,Fire Smart,Tree thinning around landfills.,Completed,53.192924,-105.779327,GCS_North_American_1983_CSRS
Ontario,Ontario Aboriginal Lands Association,9999,Energy sustainability and connectivity,Capacity BuildingOntario Aboriginal Lands Association Land Management Support Service Pilot Project,Funding support for pilot project to build core capacity in regional centres of excellence to provide enhanced services to First Nations and support the National Aboriginal Lands Managers Association to progressively take over the management and implementation of the land use planning initiative from Indigenous Services Canada.,Ongoing,44.470806,-78.366214,GCS_North_American_1983_CSRS
Ontario,Chiefs of Ontario,9999,Water and wastewater,Water Capacity Proposal,Water capacity proposal.,Ongoing,43.656967,-79.36050399999999,GCS_North_American_1983_CSRS
Saskatchewan,Sakwatamo Lodge Treatment Centre,9999,Health,Renovation and expansion of an existing treatment centre facility.,Renovation and expansion of an existing treatment centre facility.,Completed,53.105900000000005,-104.8777,GCS_North_American_1983_CSRS
Ontario,Nishnawbe Aski Development Fund ,9999,Energy sustainability and connectivity,Integrated Community-led Land Use Planning,To develop a framework for integrating land use plans to the comprehensive community planning process in Nishnawbe Aski Nation/ Treaty 3 communities and provide direct support.,Ongoing,48.353327,-89.261986,GCS_North_American_1983_CSRS
Alberta,Cando,9999,Transformation,Indigenous Homes Innovation InitiativeSteering Committee Design Meetings,The Indigenous Homes Innovation Initiative will provide funding to creative projects led by Indigenous peoples to design and build more effective sustainable and culturally inspired living spaces for Indigenous peoples. The initiative is being designed and overseen by an Indigenous Steering Committee. ,Ongoing,53.482077,-113.477251,GCS_North_American_1983_CSRS
British Columbia,Stó:l? Service Agency,9999,Aboriginal Head Start on Reserve,Renovation of an existing early learning and child care facility.,Renovation of an existing early learning and child care facility.,Completed,49.1342,-121.9612,GCS_North_American_1983_CSRS
British Columbia,Stó:l? Service Agency,9999,Aboriginal Head Start on Reserve,Repairs and renovation of an existing early learning and child care facility.,Repairs and renovation of an existing early learning and child care facility.,Completed,49.1342,-121.9612,GCS_North_American_1983_CSRS
